id,注意事項（短い名前）,伝えている内容（1文）,出どころ（file:line / フィールド）,発火条件,影響（順位が変わる／送れるかが変わる／金額の確かさ／前提・説明）,今のUI（main）での表現,Mock v3 での表現,UI区分,区分の根拠,必要なエンジンのフィールド,リリース前に決めること,担当,状態,最終更新日
69,宅配便の着地通関手数料はゼロと仮定（幅あり）,税がゼロなら手数料もゼロと仮定しており、外れると総額が過小になりうる,compare.ts:1675-1713,GB/200g/courier-fedex 583行,金額の確かさ,開いた中（下端だけ。上端・rangeNoteは#50で欠落）,開いた中（幅+§。v3で#50同様に上端が出るかは未確認）,未表現（無理）,監査#69: 今のUIは下端しか出さず、'この行が最大¥Xだけ過小評価しうる'という開示が一部欠落,#50と同じrangeNote/上端表示の配線,-,,未検討,2026-09-15
70,着地通関手数料の課金単位は推論,手数料が1件あたりか1配送あたりかは公表資料に明記が無く推論している,compare.ts:1664-1674,"7,080行",金額の確かさ,開いた中,開いた中（v2から不変）,開いた中だけ,根拠説明,-,-,,未検討,2026-09-15
71,着地通関手数料の額不明,着地通関手数料の額そのものが不明,compare.ts:1718-1723 (COURIER_CLEARANCE_UNKNOWN),条件未発見（マスタが{}、courier-clearance.ts:465。PR #149で埋まった）,金額の確かさ,条件未発見,条件未発見（PR #149でマスタが埋まり、現在は発火しない可能性。要再確認）,条件未発見,監査#71: 掃引時点でマスタが空だったため発火なし。直近のPR #149でGB/DE等のFedEx/UPS通関手数料を埋めたため、現状の発火有無は未確認,-,PR#149後にこの条件が今も条件未発見のままか再監査するか,,未検討,2026-09-15
72,決済時徴収GST/VATの徴収者が未確認,誰が実際に決済時にGST/VATを集めているか確認できていない,compare.ts:1010-1016,SG/200g/cheapest 545行(ZenMarket),金額の確かさ,開いた中,開いた中（v2から不変）,開いた中だけ,根拠説明,-,-,,未検討,2026-09-15
73,決済時徴収GST/VATで送料が無く額が出せない,国際送料が比較不能な行に付随してGST/VAT額もnullになる,"compare.ts:1006-1008,1026-1030","GB/200g/船便 4,812行",金額の確かさ,開いた中,開いた中（v2から不変）,開いた中だけ,比較不能行に付随する説明,-,-,,未検討,2026-09-15
74,入金手数料3.5%は当方の暫定値,Buyee/Neokyo/FROM JAPANの入金手数料3.5%は当方が置いた仮の値,services.ts deposit.note,"54,672行",金額の確かさ,開いた中（琥珀）,開いた中（§。v2から不変）,開いた中だけ,根拠説明,-,-,,未検討,2026-09-15
75,ZenMarketの手数料計算でヤフオクをJDirectItemsと読んだ推論,ZenMarketの手数料をJDirectItems扱いとして計算する推論,compare.ts:907-910,"15,606行",金額の確かさ,開いた中,開いた中（v2から不変）,開いた中だけ,根拠説明,-,-,,未検討,2026-09-15
76,店舗を読めず別注文で課金（総額が高めに出る）,出品元の店舗を特定できず、まとめられずに別注文として課金される,compare.ts:857-860,"15,618行(3点)",金額の確かさ（高めに出る方向）,開いた中,開いた中（v2から不変。id37bのunresolved-shopと重なる）,開いた中だけ,根拠説明。ただしid37bで箱の区切り線として一部形になっている,-,-,,未検討,2026-09-15
77,英酒税（発生するが額不明、shared）,英国宛の酒類には消費税が発生するが額が不明,compare.ts:600-607,酒ライン（特殊籠5行）,金額の確かさ,出ている（excl.）+開いた中,再現不能（Mockに酒ラインが無く、コード上はexcl.行が無いので開いた中相当）,条件未発見,"監査#77・v3map #64,77,84,85: Mockのカートで酒ラインの品を作れず確認できていない",-,id64と合わせてMockの入力手段の拡張を検討,,未検討,2026-09-15
78,Zonos前払い利用料（US郵便、shared）,米国郵便向けZonosの前払い利用料,compare.ts:621-626,"2,853行",金額の確かさ,出ている（excl.）,"form: 行の総額直下に線なしの費目名（id21と同じ機構でv3map #21,78,79,80に含む）",形で表現できている,id21と同じ機構で名前が行に戻る,-,-,,未検討,2026-09-15
79,外注梱包（FROM JAPAN、条件付き）,FROM JAPANの外注梱包費用（条件付きで発生）,compare.ts:1451-1458,"US/10kg/3点/¥120,000 3,154行、EMS12kg×5",金額の確かさ,出ている（excl.）,"id21と同じ機構で名前を行に戻す（v3map #21,78,79,80）",形で表現できている,同上,-,-,,未検討,2026-09-15
80,同梱の費用未確認（ConsolidationCallout）,同梱にかかる費用は未確認（上限不明）,"compare.ts:1462-1465, ConsolidationCallout.tsx","3,374条件（常にunconfirmed）",金額の確かさ,出ている,出ている（!'their fee for combining is unpublished'。v2から不変、grammar §1.2 id25近辺で言及の同梱呼びかけと同種）,言葉で補っている,!記号だけでは'未確認・上限不明'という具体的性質を運べず文が残る,-,-,,未検討,2026-09-15
81,比較の範囲（EmsOnlyNote）,何社・何方式で比較したか、大きさは見ていないことなどの開示,EmsOnlyNote.tsx,常時,前提・説明,出ている,開いた中（Ship byの§ 'How methods are compared'）。未価格化の社名・グリッド無しの社名・二次情報の社の点線・/sourcesリンクは§に戻す（v3map/grammar §1.3）,開いた中だけ,grammar §1.3: #81は範囲の説明として§に統合。ただし一部要素(未価格化の社名等)がv2で欠落していたのをv3で戻す設計,-,v3で実際に全要素(未価格化の社名・グリッド無しの社名・リンク)が§に戻っているか実機確認,,未検討,2026-09-15
82,送れるかは見ていない（RestrictedGoodsNote常時）,送れない品があるかもしれないが当方は確認していない、という一般開示,RestrictedGoodsNote.tsx:32-49,常時,送れるかの前提,"出ている（.band）。品目を決め打ち('banned goods, batteries, liquids')、リンク無し（監査§3-10の誤り）","form-adjacent: 1行、!なし（GB/DE以外）。restrictedList()から品目を組みリンクを残す（v3map #82, kill-list §9: 常時の!は警告疲れの原因）",言葉で補っている,"常時の1行という形自体はあるが、品目名・リンクという文言部分が要る（grammar §1.1 id82,86: 'オーナー指定'につき文章要）",-,v3で品目の決め打ち文言(監査§3-10)が実際にrestrictedList()由来に直っているか確認,,未検討,2026-09-15
83,リチウム電池の航空郵便を受けない宛先（GB/DE）,GB・DE宛はリチウム電池入り荷物を航空郵便で受け付けない,"RestrictedGoodsNote.tsx:38-43, LITHIUM_AIRMAIL_LISTED",宛先GB/DE,送れるかが変わる,出ている,form-adjacent: GB/DEのときだけ帯の頭に!が立つ1行（v3map #83）。今のUI(main)にはあるがMock v2では欠落していた重要項目,言葉で補っている,宛先の事実は記号にできず1行が必要（grammar §1.1 id83: '要:宛先の事実は記号にできない'）,"CompareResult.destinationFacts:{lithiumAirmailListed:boolean}（grammar §5。現状は['GB','DE']をUIからハードコードして読んでいる）","['GB','DE']のハードコードをエンジンのdestinationFactsに移すタイミング",,未検討,2026-09-15
84,酒がカートにある（AlcoholInCartNote）,カートに酒類があり、24%超はどの方式でも送れない可能性,RestrictedGoodsNote.tsx:69-96,酒ライン,送れるかが変わる,出ている,"欠落／再現不能（Mockにコードが無い。id64,77と同じ入力制約）",条件未発見,"v3map #64,77,84,85: Mockのカートで酒ラインの品を作れず、コードも無いため確認できない",Item側のrestrictedKind:'alcohol'|'long'|null（grammar §5）,Mockに酒・長物ラインの入力手段を追加するか,,未検討,2026-09-15
85,長物がカートにある（LongItemsInCartNote）,カートに長い荷物があり、値段が付いた方式でも断られうる,RestrictedGoodsNote.tsx:112-138,長物ライン,送れるかが変わる,出ている,欠落／再現不能（id84と同じ）,条件未発見,id84と同一理由,Item側のrestrictedKind（id84と共通）,id84とまとめて対応,,未検討,2026-09-15
86,燃油込み・遠隔地除外（RemoteAreaSurchargeNote）,総額には燃油サーチャージを含むが遠隔地サーチャージは含まないという固定文言,RemoteAreaSurchargeNote.tsx,常時,金額の確かさ,出ている,出ている（一字一句同じ。v2から不変）,言葉で補っている,"オーナー固定文言のため文章のまま（grammar §1.1 id82,86）",-,-,,未検討,2026-09-15
87,仮置きの重量の点数（AssumedWeightsNote）,N点の重量が仮置きで、順位はその数字に乗っている,AssumedWeightsNote.tsx:160-207,仮置きあり,順位が変わる,出ている（カートを畳んでいても）,"form: ?（品の重量欄）+カートを畳んでいてもカート見出しの隣に'?'と点数('? 1 of 5')。監査§3-11の降格（畳むと消える）を是正（v3map/grammar §1.1 id87,88）",形で表現できている,?記号と数だけで足りる設計（grammar: '不要（?と数で足りる）'）,-,-,,未検討,2026-09-15
88,仮置きの印?と品ごとの文,仮置きの品には?マークと個別の説明文が付く,"AssumedMark, ItemList.tsx:355,380-391",同上,金額の確かさ,出ている,出ている（開いたカート。点線赤下線+?+§）,形で表現できている,id87と同じ記号機構,-,-,,未検討,2026-09-15
89,価格の3状態（listing page読取日／reference price／編集済み／未表示）,価格の出どころが3〜4状態あることを線種で示す,ItemList.tsx:307-327,各品,金額の確かさ,出ている,出ている（線種+文。'current bid — final price comes later'を追加。v2から不変）,形で表現できている,線種+短い文の組み合わせで表現済み,-,-,,未検討,2026-09-15
90,重量の出どころ（表のライン・P25-P75・/weightsリンク・入力・リセット）,重量データがどこから来たか（表・推定・入力）を示す,ItemList.tsx:365-403,各品,前提・説明,出ている,出ている／開いた中（§にP25-P75。v2から不変）,開いた中だけ,詳細（P25-P75の分布など）は根拠であり§向き。表か仮置きかの状態自体はid42/87の記号で表現,-,-,,未検討,2026-09-15
91,同梱の呼びかけ（ConsolidationCallout）,同梱を頼めば総額が下がりうるという呼びかけ,ConsolidationCallout.tsx,"defaultとconsolidated行の差>0（3,374条件）",金額の確かさ（選択を変えうる）,出ている（ボード下の独立枠）,出ている（Buyee行の中の!。grammar §1.2 id25近辺の設計でボード行内に統合、v2から実質不変）,言葉で補っている,'頼めば安くなるかもしれない'という行動喚起は文でしか運べない,-,-,,未検討,2026-09-15
92,何が外れうるか（WhatCouldBeOff）,推定・二次情報・含まれないものの一覧と、順位は保証・重量は当方という前提のまとめ,WhatCouldBeOff.tsx,比べられる行あり,前提・説明,出ている,"開いた中（<details>折り畳み）。'Not included'一覧は行の費目名(#21)と重複するため削除、Estimated/Second-hand/weight項目は残す（v3map #92, kill-list §11）",開いた中だけ,折り畳みという形自体は不変、内容を#21との重複排除で整理,-,-,,未検討,2026-09-15
93,凡例（TierLegend×2）,確度4段階の凡例。CalculatorとCostTableの2箇所に重複表示,"Calculator.tsx:213, CostTable.tsx:107",常時,前提・説明,出ている（2箇所重複、監査4章の重複指摘）,"開いた中（ログ見出し・表の下・§に統合。凡例は1回のみ, grammar §1.2 id47）",開いた中だけ,v3で2箇所重複を1箇所に統合する設計（監査4章の指摘の是正）,-,今のUI(main)側の2箇所重複をこのタイミングで1箇所にまとめるか,,未検討,2026-09-15
94,二次情報の社の列見出し破線（primarySource===false）,料金表が二次情報である社の列見出しを破線にする,CostTable.tsx:41-52,条件未発見（5社ともprimarySource:trueで死んでいる）,金額の確かさ,実装あり（発火せず）,実装あり（発火せず。v3でも同条件のため未発火のまま）,条件未発見,"5社ともprimarySource:trueのため実装はあるが発火しない（監査#94, services.ts各所）","Service.primarySourceをRowに（grammar §5, #94/#35）",primarySource:falseとなる社が今後増える見込みがあるか（オーナー確認）,,未検討,2026-09-15
95,方式の選択肢: 未価格の宛先は無効化・理由・日数・追跡,選べない配送方式は無効化して理由を示す,MethodPicker.tsx:54-65,各国,送れるかが変わる,出ている,"出ている（判定方法が違う: Mockは1kgのprobeで判定するため、1kgより重い点しか測っていない便で食い違いうる, 監査§3-13）",言葉で補っている,disabled状態と理由文の組み合わせのため、状態は形だが理由は文,"courierMethodAvailableのexport（既存関数をMockからも直接呼ぶ, grammar §5 #3-13）",Mock v3のprobe判定を実関数呼び出しに置き換えるか（監査§3-13の是正）,,未検討,2026-09-15
96,保管日数の既定は当方の仮定,保管日数の初期値は当方が置いた仮定である,StorageDaysInput.tsx,常時,金額の確かさ,出ている（titleはホバー）,"出ている（'days・our default'+§。破線で推定の線種, v2から不変, grammar §1.2 id62,96）",形で表現できている,線種+短いラベルで表現,-,-,,未検討,2026-09-15
97,検索候補は参考価格・価格なし,検索結果の候補は参考価格であり確定額ではない,"CandidateDialog.tsx:35-38,68-74",検索時,金額の確かさ,出ている,出ている（v2から不変）,言葉で補っている,検索UIの説明文であり記号化の対象外,-,-,,未検討,2026-09-15
98,URL取得失敗・一覧ページ・検索未設定の通知,URL取得に失敗した場合などの4種類の通知,SearchBox.tsx,失敗時,前提・説明,出ている,出ている（4変種、v2から不変）,言葉で補っている,エラー通知はその性質上、文が必要,-,-,,未検討,2026-09-15
99,金額のtitle属性（tierTitle）,金額にホバーすると確度の根拠が読める,tiers.tsx:21-26,全金額,金額の確かさ,出ている（ホバーのみ）,未実装（not shown）。§に置換（v3map #99: titleはタッチ操作で使えず§と重複するため撤去）,未表現（無理）,v3map #99: title属性はモバイルで機能しないため意図的に撤去し§に一本化する設計判断,-,今のUI(main)のtitle属性もいずれ§的なUIに置き換えるか,,未検討,2026-09-15
100,総額の見出しは'approx. total',総額の見出しに近似値であることを明示する語を使う,RankBoard.tsx:324,常時,金額の確かさ,出ている,"'Total'+§（見出し自体は弱まる。詳しい確度説明は§へ, v2から不変）",言葉で補っている,見出しの単語自体が文言なので言葉で補っている扱い,-,-,,未検討,2026-09-15
